common_name,cas_number,hazard_class,un_number,notes
Asbestos,1332-21-4,Carcinogen/CMR,2212,All forms including chrysotile amosite and crocidolite
Benzene,71-43-2,Flammable/Carcinogen,1114,Group 1 IARC carcinogen; reproductive hazard
Formaldehyde,50-00-0,Toxic/Carcinogen,1198,Embalming fixative; IARC Group 1 carcinogen
Arsenic trioxide,1327-53-3,Acute Toxic/Carcinogen,1561,Highly toxic; rat poison and wood preservative
Lead,7439-92-1,CMR/Toxic,3077,Battery waste; paint pigment; reproductive toxin
Mercury,7439-97-6,Toxic/Enviro Hazard,2809,Thermometer waste; dental amalgam; bioaccumulative
Cadmium,7440-43-9,Carcinogen/CMR,2570,Battery waste; pigment; renal toxin
Chromium VI (hexavalent),18540-29-9,Carcinogen/CMR,1755,Plating waste; anti-corrosion pigment
Polychlorinated Biphenyls,1336-36-3,Enviro Hazard/CMR,2315,PCBs; transformer oil; banned globally
Dioxins (PCDD),1746-01-6,Carcinogen,2811,By-product of incineration; POP under Stockholm Convention
Cyanide (sodium),143-33-9,Acute Toxic,1689,Metal extraction; electroplating waste
Cyanide (potassium),151-50-8,Acute Toxic,1680,Metal extraction; photographic waste
Hydrogen cyanide,74-90-8,Acute Toxic/Flammable,1051,Gas; fumigation; chemical synthesis
Chlorine gas,7782-50-5,Acute Toxic/Corrosive,1017,Disinfection by-product; bleaching waste
Ammonia,7664-41-7,Toxic/Corrosive,1005,Fertiliser waste; refrigerant; corrosive
Sulfuric acid (fuming),8014-95-7,Corrosive/Toxic,1831,Oleum; battery acid waste; highly reactive
Hydrofluoric acid,7664-39-3,Acute Toxic/Corrosive,1790,Glass etching; semiconductor waste; severe burns
Nitric acid (fuming),7697-37-2,Oxidiser/Corrosive,2032,Metal etching; explosive synthesis intermediate
Phosphine,7803-51-2,Acute Toxic/Flammable,2199,Fumigant; semiconductor dopant gas
Phosgene,75-44-5,Acute Toxic,1076,Polymer synthesis; chemical warfare precursor
Styrene oxide,96-09-3,Carcinogen/Mutagenic,2078,Epoxide intermediate; carcinogenic
Vinyl chloride,75-01-4,Carcinogen/Flammable,1086,PVC monomer; Group 1 IARC carcinogen
